,NUCLEAR,"COAL, SLOW",BIOMASS/OTHER,GAS,WIND,PV,directHydro,HYDRO,RESERVE,hydroMinRes,hydroMaxres,hydroresCapacity,hydroMinenvflov,hydroMaxoveeall,CURRENT FLEET,NUCLEAR,COAL,BIOMASS/OTHER,GAS,WIND,PV,directHyro,HYDRO,RESERVE
FI,2800,3500,2000,700,2000,110,3100,0,0,700,5000,2400,5,0,15785,5000,5000,5000,5000,50000,10000,500,0,20000
EE,0,2351,105,160,340,11,10,0,0,0,3000,0,0,0,3225,2000,2000,2000,2000,100000,100000,500,0,20000
SE,9139,5613,3590,0,6691,411,16909,0,0,3000,20000,15000,50,0,43058,5000,5000,5000,5000,100000,100000,500,0,20000
DE,9509,75594,8666,0,58712,44360,0,10245,0,3000,10000,20000,5,1000,209086,5000,5000,5000,5000,100000,100000,500,2000,20000
ES,7117,44448,629,232,25704,7011,0,20374,0,3000,21000,20000,50,1000,107515,5000,5000,5000,5000,100000,100000,500,2000,20000
PL,0,30595,57,864,5766,1830,0,2355,0,600,3000,2355,5,1000,43467,5000,5000,5000,5000,100000,100000,500,1000,20000
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,700,,,100,,,,,,,,,,,
,,,,,,,,,,0,,,0,,,,,,,,,,,
,,,,,,,,,,3000,,,500,,,,,,,,,,,
,,,,,,,,,,3000,,,400,,,,,,,,,,,
,,,,,,,,,,3000,,,600,,,,,,,,,,,
,,,,,,,,,,600,,,200,,,,,,,,,,,
