fi,ee,se,de,sp,pl
3.35185,0,65.4869,39.5411942,281.8398343,6.442437854
3.35185,0,65.4869,39.5411943,281.8398344,6.442437855
3.32655,0,65.0305,36.46088663,305.2882592,6.36988265
3.30215,0,64.5503,41.86579448,324.6473386,4.278574637
3.275425,0,64.0544,45.86999453,328.8630409,4.548137539
3.249375,0,65.0867,47.83823266,333.6475169,4.75908164
3.22125,0,65.1254,48.20034249,337.4840589,4.901278233
3.351575,0,65.5932,47.78125471,345.1815825,4.993986372
3.1646,0,62.8691,46.95332519,352.0858213,5.046040379
3.135975,0,61.54,45.83500807,354.6904885,5.076972114
3.389275,0,82.5076,44.52476524,349.2146765,5.085080883
3.5497,0,79.8771,43.09556846,337.9012182,5.386150158
3.6164,0,60.7667,41.66887071,323.4154461,5.071603028
3.2359,0,86.1413,46.45002001,307.6592726,5.239693123
3.77445,0,73.7561,39.19008021,291.917963,12.90582965
4.230975,0,64.9424,38.39613753,277.0635797,5.126768202
5.200625,0,97.9106,37.67316738,263.4584128,5.222024479
9.407425,0,67.7232,36.93195429,251.5760941,5.310158738
3.3096,0,61.1046,36.1450089,248.142554,5.382441136
2.86695,0,62.3694,35.32382676,253.4917285,5.435516719
9.3248,0,90.0043,34.50339434,274.0002924,5.467295899
6.0748,0,66.926,33.72919402,298.7691162,5.487814511
3.921225,0,65.8401,32.99897667,316.9772148,5.493949779
3.044775,0,75.9534,32.40320729,322.1616519,5.498610726
3.010975,0,79.063,31.97062473,319.3562756,5.505320631
8.425425,0,75.2035,31.54603908,312.1218415,5.511676467
2.7194,0,69.7086,31.08471765,302.7205392,5.516975899
2.6859,0,70.948,30.72010878,293.6557201,5.638491356
2.6726,0,71.4176,30.58491112,285.1583722,5.581497792
2.65835,0,71.9189,30.49419623,276.6144735,5.660780315
2.64235,0,72.1396,30.32975988,269.0674168,5.732760883
2.62655,0,72.1447,30.07385894,262.2735998,5.785702965
2.61975,0,71.965,29.72899243,255.2420386,5.81927571
2.59435,0,73.2504,29.57530192,248.9414744,5.83488959
2.57055,0,71.3239,29.20069692,244.7234511,5.838952681
2.5499,0,70.9644,29.21943967,244.9325322,5.83488959
2.530475,0,70.5524,29.16695998,244.0014743,5.834947634
2.552125,0,70.082,29.01926715,241.0896996,5.834135016
2.6983,0,96.0635,28.78310856,237.1187454,5.797845804
2.791,0,80.2444,28.52071013,232.7176813,5.774140568
3.81525,0,74.8015,28.24956509,228.3857167,5.748003281
2.460755,0,69.3714,27.93443707,224.018665,5.718841893
3.18255,0,77.9227,27.55758294,219.6348138,5.685280757
3.63235,0,79.4792,27.11675358,215.4610826,5.64581653
2.615975,0,67.0533,26.61644724,211.1922576,5.603455899
2.50275,0,78.4499,26.07515676,206.7459065,5.557334006
7.13785,0,141.471,25.51387403,202.122995,5.511409464
5.39475,0,77.7271,24.93029992,197.3478388,5.462855521
15.133225,0,101.857,24.32850786,192.5242381,5.414945868
3.037225,0,65.4072,23.73258853,188.5894896,5.367314826
2.263315,0,65.2436,23.13207098,186.9215315,5.31963735
2.2494125,0,65.0718,22.55651877,187.1099406,5.279813249
2.31142,0,64.4559,22.02822326,188.5449427,5.253884921
2.229915,0,69.0333,21.55763042,191.651615,5.240749527
2.2138,0,64.0199,21.16638186,195.5301636,5.236645804
2.623725,0,110.299,20.8668728,200.8230602,5.2399253
2.2508825,0,63.6007,20.65877835,211.9239107,5.250419685
2.1833625,0,63.2076,20.52657952,229.4532117,5.271396845
2.1734825,0,63.0414,20.47674881,246.4086291,5.29810877
2.165195,0,62.79,20.57253673,258.5347567,5.339331735
