FI TOT RoR,ee,se,DE_RoR,SP RoR,PL RoR,,
10.132275,0,0,88.14911779,166.0318751,2.832820284,,422.178125
10.05555,0,0,118.6848057,170.6851656,4.656762145,,418.98125
9.97965,0,0,109.4391134,190.3667408,4.60431735,,415.81875
9.90645,0,0,125.6622055,205.7606614,3.092665363,,412.76875
9.826275,0,0,137.6810055,207.5789591,3.287512461,,409.428125
9.748125,0,0,143.5887673,209.0854831,3.43998836,,406.171875
9.66375,0,0,144.6756575,209.5929411,3.542771767,,402.65625
10.054725,0,0,143.4177453,213.0064175,3.609783628,,418.946875
9.4938,0,0,140.9326748,215.6581787,3.647409621,,395.575
9.407925,0,0,137.5759919,215.2375115,3.669767886,,391.996875
10.167825,0,0,133.6432348,209.1773235,3.675629117,,423.659375
10.6491,0,0,129.3534315,199.1587818,3.893249842,,443.7125
10.8492,0,0,125.0711293,187.2185539,3.665886972,,452.05
9.7077,0,0,139.42198,174.7897274,3.787386877,,404.4875
11.32335,0,0,117.6309198,162.741037,9.328670347,,471.80625
12.692925,0,0,115.2478625,151.5384203,3.705761798,,528.871875
15.601875,0,0,113.0778326,141.3775872,3.774615521,,650.078125
28.222275,0,0,110.8530457,132.5489059,3.838321262,,1175.928125
9.9288,0,0,108.4909911,130.274446,3.890568864,,413.7
8.60085,0,0,106.0261732,133.8582715,3.928933281,,358.36875
27.9744,0,0,103.5636057,148.2037076,3.951904101,,1165.6
18.2244,0,0,101.239806,164.1718838,3.966735489,,759.35
11.763675,0,0,99.04802333,174.6577852,3.971170221,,490.153125
9.134325,0,0,97.25979271,176.0233481,3.974539274,,380.596875
9.032925,0,0,95.96137527,172.5457244,3.979389369,,376.371875
25.276275,0,0,94.68696092,166.4261585,3.983983533,,1053.178125
8.1582,0,0,93.30228235,158.9304608,3.987814101,,339.925
8.0577,0,0,92.20789122,151.1002799,4.075648644,,335.7375
8.0178,0,0,91.80208888,143.3366278,4.034452208,,334.075
7.97505,0,0,91.52980377,135.8225265,4.091759685,,332.29375
7.92705,0,0,91.03624012,128.9095832,4.143789117,,330.29375
7.87965,0,0,90.26814106,122.5754002,4.182057035,,328.31875
7.85925,0,0,89.23300757,116.6209614,4.20632429,,327.46875
7.78305,0,0,88.77169808,111.2435256,4.21761041,,324.29375
7.71165,0,0,87.64730308,106.7565489,4.220547319,,321.31875
7.6497,0,0,87.70356033,103.6254678,4.21761041,,318.7375
7.591425,0,0,87.54604002,100.5545257,4.217652366,,316.309375
7.656375,0,0,87.10273285,97.38830037,4.217064984,,319.015625
8.0949,0,0,86.39389144,94.31225461,4.190834196,,337.2875
8.373,0,0,85.60628987,91.38331867,4.173699432,,348.875
11.44575,0,0,84.79243491,88.65428334,4.154806719,,476.90625
7.382265,0,0,83.84656293,86.04533498,4.133728107,,307.594375
9.54765,0,0,82.71541706,83.59018618,4.109469243,,397.81875
10.89705,0,0,81.39224642,81.28951745,4.08094347,,454.04375
7.847925,0,0,79.89055276,79.00674242,4.050324101,,326.996875
7.50825,0,0,78.26584324,76.75389348,4.016985994,,312.84375
21.41355,0,0,76.58112597,74.53540495,3.983790536,,892.23125
16.18425,0,0,74.82950008,72.33646119,3.948694479,,674.34375
45.399675,0,0,73.02319214,70.23026195,3.914064132,,1891.653125
9.111675,0,0,71.23451147,68.75911038,3.879635174,,379.653125
6.789945,0,0,69.43202902,68.54666854,3.84517265,,282.914375
6.7482375,0,0,67.70448123,69.13555937,3.816386751,,281.1765625
6.93426,0,0,66.11877674,70.05965731,3.797645079,,288.9275
6.689745,0,0,64.70626958,71.92738498,3.788150473,,278.739375
6.6414,0,0,63.53191814,73.87273642,3.785184196,,276.725
7.871175,0,0,62.6329272,76.42533983,3.7875547,,327.965625
6.7526475,0,0,62.00832165,81.25708935,3.795140315,,281.3603125
6.5500875,0,0,61.61152048,87.70678829,3.810303155,,272.9203125
6.5204475,0,0,61.46195119,93.78337089,3.82961123,,271.6853125
6.495585,0,0,61.74946327,98.31224332,3.859408265,,270.649375
6.467535,0,0,62.65175463,102.7458958,3.907619716,,269.480625
6.4379025,0,0,64.66441418,105.6605053,3.968422114,,268.2459375
6.41715,0,0,66.93660721,106.9093722,4.02500795,,267.38125
6.3833625,0,0,68.64420242,106.7657694,4.070827918,,265.9734375
6.612465,0,0,69.91246598,105.5845255,4.109263659,,275.519375
7.46367,0,0,71.31064629,103.7497155,4.137277571,,310.98625
6.6674475,0,0,73.03931922,101.3586614,4.155532555,,277.8103125
6.44685,0,0,74.19026765,98.42008683,4.174811262,,268.61875
9.5715,0,0,74.57701752,95.02739236,4.227763722,,398.8125
8.415975,0,0,74.31275844,91.24514575,4.349771293,,350.665625
7.0024725,0,0,73.59791626,87.24438392,4.573605678,,291.7696875
7.93635,0,0,73.16173501,83.25930248,4.939754259,,330.68125
38.5809,0,0,73.01779144,79.3101689,5.264492429,,1607.5375
6.455685,0,0,72.40233707,75.64395743,5.491851104,,268.986875
6.8751675,0,0,71.36562838,72.24322504,5.652458044,,286.4653125
6.5990625,0,0,70.03210641,69.16398881,5.772661514,,274.9609375
10.33725,0,0,68.53536339,66.21309753,5.885732492,,430.71875
