SE1 RoR;SE2 RoR;SE3 RoR;SE4 RoR;NO1 RoR;NO2 RoR;NO3 RoR;NO4 RoR;NO5 RoR;DK RoR;FI1 RoR;FI2 RoR;BNL_RoR;DE_RoR;BAL RoR;PL RoR;IE ROR;UK RoR;FR RoR;CEN RoR;SP RoR;MED RoR
0;0;0;0;3.773654248;0.913621555;0.018055762;0.054167286;0.122779181;0;4.294737711;5.837537289;4.280234;88.14911779;5.252789;2.832820284;0;5.818394261;349.9549811;99.57350712;166.0318751;150.1180158
0;0;0;0;3.745997594;0.906925733;0.017923433;0.0537703;0.121879348;0;4.262216511;5.793333489;4.835305;118.6848057;5.67749;4.656762145;0;6.048341278;359.8849347;105.1938589;170.6851656;152.8300123
0;0;0;0;3.715235113;0.899477975;0.017776245;0.053328734;0.120878463;0;4.230045;5.749605;5.83705;109.4391134;5.046216;4.60431735;0;6.319909674;384.6622871;125.2143358;190.3667408;155.5216036
0;0;0;0;3.68906482;0.893142009;0.017651028;0.052953084;0.120026989;0;4.199017931;5.707432069;6.64657;125.6622055;5.008635;3.092665363;0;6.506176446;410.6646228;113.3338877;205.7606614;155.1528644
0;0;0;0;3.651761614;0.884110707;0.017472544;0.052417631;0.118813297;0;4.165034388;5.661240612;7.00691;137.6810055;4.979137;3.287512461;0;6.564228379;439.9691601;118.5959718;207.5789591;155.7412288
0;0;0;0;3.794618583;0.918697131;0.01815607;0.054468209;0.123461274;0;4.131909177;5.616215823;7.07472;143.5887673;4.949933;3.43998836;0;6.541661599;453.0028496;121.4538833;209.0854831;156.4178901
0;0;0;0;3.729359233;0.902897498;0.017843824;0.053531472;0.121338004;0;4.096145393;5.567604607;7.00834;144.6756575;4.920872;3.542771767;0;6.476100862;453.1996475;123.8083355;209.5929411;158.1962458
0;0;0;0;3.556885982;0.861140817;0.017018593;0.05105578;0.115726434;0;4.26186682;5.79285818;6.87103;143.4177453;4.893251;3.609783628;0;6.381837118;447.810221;123.0534845;213.0064175;161.7886211
0;0;0;0;3.526611559;0.85381122;0.01687374;0.050621219;0.114741429;0;4.024109184;5.469690816;6.68678;140.9326748;4.934852;3.647409621;0;6.266459911;439.7531827;121.5313489;215.6581787;166.6721893
0;0;0;0;3.84116902;0.929967236;0.018378799;0.055136397;0.124975834;0;3.9877096;5.4202154;6.47214;137.5759919;4.838174;3.669767886;0;6.138123961;429.967492;126.000532;215.2375115;188.192628
0;0;0;0;4.340467749;1.050850087;0.020767788;0.062303365;0.14122096;0;4.309806186;5.858018814;6.24066;133.6432348;5.450471;3.675629117;0;6.00179477;418.4639893;118.716275;209.1773235;182.0555361
0;0;0;0;3.515020168;0.851004883;0.016818278;0.050454835;0.114364293;0;4.51380281;6.13529719;6.00008;129.3534315;9.93587;3.893249842;0;5.860863408;405.5720609;116.9077486;199.1587818;184.9775857
0;0;0;0;3.611212079;0.874293451;0.017278527;0.05183558;0.117493982;0;4.59861861;6.25058139;5.76147;125.0711293;10.44604;3.665886972;0;5.7591716;392.0055161;114.8822497;187.2185539;185.102279
0;0;0;0;3.767442593;0.91211768;0.018026041;0.054078123;0.12257708;0;4.11477435;5.59292565;5.59967;139.42198;19.31401;3.787386877;0;5.753802402;378.6682909;113.0799648;174.7897274;183.4624546
0;0;0;0;4.088193221;0.989773096;0.019560733;0.058682199;0.133012985;0;4.799595181;6.523754819;5.34166;117.6309198;10.788448;9.328670347;0;5.783393547;365.17763;111.3721965;162.741037;180.6291338
0;0;0;0;4.647500973;1.125184446;0.022236847;0.06671054;0.151210558;0;5.380112923;7.312812077;5.15783;115.2478625;11.781403;3.705761798;0;5.806606247;352.7510119;108.6462352;151.5384203;177.3307185
0;0;0;0;5.244855111;1.269807027;0.025095001;0.075285002;0.170646004;0;6.613121035;8.988753965;4.98676;113.0778326;4.81876;3.774615521;0;5.819403509;341.1274291;106.7583149;141.3775872;174.1443819
0;0;0;0;6.255801932;1.514562573;0.029932067;0.0897962;0.203538053;0;11.962493;16.259782;4.82163;110.8530457;5.004516;3.838321262;0;5.868574061;330.2360012;104.9241091;132.5489059;171.1741614
0;0;0;0;7.010813785;1.697354916;0.033544564;0.100633691;0.228103032;0;4.20849136;5.72030864;4.65972;108.4909911;5.225769;3.890568864;0;5.94228952;320.2543464;103.1296784;130.274446;168.8936314
0;0;0;0;7.371607402;1.78470495;0.035270849;0.105812546;0.239841772;0;3.645617085;4.955232915;4.50435;106.0261732;5.453082;3.928933281;0;6.047897209;311.9488091;101.3541257;133.8582715;166.8569782
0;0;0;0;7.692912642;1.86249464;0.036808194;0.110424583;0.250295722;0;11.85742695;16.11697305;4.36586;103.5636057;5.671384;3.951904101;0;6.192784822;306.6227582;99.63273454;148.2037076;164.7172661
0;0;0;0;8.074744542;1.954938152;0.038635141;0.115905424;0.262718961;0;7.724723021;10.49967698;4.2563;101.239806;5.860417;3.966735489;0;6.327781806;307.89027;98.26607396;164.1718838;165.7215009
0;0;0;0;8.272814988;2.00289205;0.039582847;0.11874854;0.269163358;0;4.986234449;6.777440551;4.163068;99.04802333;6.023614;3.971170221;0;6.40848126;311.5552134;96.5539305;174.6577852;163.823002
0;0;0;0;8.279618229;2.00453915;0.039615398;0.118846195;0.269384708;0;3.871739569;5.262585431;4.082326;97.25979271;6.15684;3.974539274;0;6.430563602;314.7073149;95.46226115;176.0233481;166.7959646
0;0;0;0;8.446334607;2.044902063;0.040413084;0.121239253;0.274808973;0;3.828759449;5.204165551;4.003051;95.96137527;6.2715;3.979389369;0;6.466533193;315.8539126;94.72014712;172.5457244;172.7840673
