200;;;EU28;BE;BG;CZ;DK;DE;EE;IE;EL;ES;FR;HR;IT;CY;LV;LT;LU;HU;MT;NL;AT;PL;PT;RO;SI;SK;FI;SE;UK;;;
201;;Installed Electricity Capacity - MW;990 918;21 554;10 739;21 989;14 337;208 500;2 567;9 945;19 165;106 185;130 794;4 878;114 162;1 760;2 928;3 665;1 709;8 750;573;34 176;24 789;38 104;20 561;23 580;3 537;7 742;16 273;40 316;97 640;;;
202;;Combustible Fuels;455 583;8 542;3 822;13 087;8 231;95 716;2 251;6 583;10 799;48 454;23 138;2 134;62 096;1 518;1 292;2 184;137;6 107;480;27 311;7 273;29 783;7 990;11 038;1 318;2 710;8 659;7 495;55 435;;;
203;;Municipal wastes;8 309;249;0;55;334;1 957;210;22;0;234;859;0;818;0;0;15;17;58;0;649;542;44;83;0;0;19;0;1 127;1 017;;;
204;;Industrial waste;1 915;73;0;3;0;953;0;0;43;50;98;0;28;0;0;4;0;18;0;0;436;3;3;1;2;10;0;190;0;;;
205;;Solid biomass (wood. wood wastes and others);17 352;561;19;376;1 030;1 600;165;5;2;677;548;26;685;0;81;39;4;322;0;294;917;727;477;107;30;150;1 748;3 769;2 993;;;
206;;Liquid biofuels;1 776;36;0;0;0;231;0;0;0;0;4;0;989;0;0;0;0;0;0;0;1;0;0;0;0;0;0;515;0;;;
207;;Biogases;11 413;186;38;369;110;5 839;11;53;56;224;353;37;1 352;10;62;25;12;76;5;221;202;225;68;16;29;93;0;2;1 739;;;
208;;Other combustible fuels (mainly fossil fuels);414 818;7 437;3 765;12 284;6 757;85 136;1 865;6 503;10 698;47 269;21 276;2 071;58 224;1 508;1 149;2 101;104;5 633;475;26 147;5 175;28 784;7 359;10 914;1 257;2 438;6 911;1 892;49 686;;;
209;;Nuclear;122 051;5 913;1 967;4 290;0;10 799;0;0;0;7 399;63 130;0;0;0;0;0;0;2 000;0;485;0;0;0;1 411;688;1 940;2 764;9 768;9 497;;;
210;;Hydro;153 969;1 425;3 223;2 262;10;11 300;6;529;3 392;20 056;25 517;2 205;22 298;0;1 565;877;1 330;57;0;37;13 689;2 385;6 960;6 734;1 293;2 524;3 250;16 466;4 579;;;
